Month,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
Aug-21,19.49399948,22.82999992,19.04000092,22.68799973,19.63400078,23.04299927,18.76199913,22.5510006,146443000,766555000
Aug-22,15.38399982,18.92000008,15.09399986,19.21500015,15.53999996,19.27400017,14.95899963,18.76000023,369986000,981859000
Aug-23,40.48600006,50.2159996,40.85499954,49.35499954,42.01800156,50.26599884,40.31100082,48.95800018,237858000,1156044000
Aug-24,92.05999756,130.0200043,98.91000366,130,103.4100037,131.2599945,90.69000244,126.6600037,257883600,552842400
Aug-99,0.041276,0.056641001,0.041276,0.058594,0.041666999,0.059115,0.040624999,0.053906001,31056000,1966992000
Dec-00,0.125521004,0.202083007,0.116145998,0.207292005,0.148957998,0.211457998,0.114583001,0.195313007,339456000,1105392000
Dec-01,0.445749998,0.581583023,0.448417008,0.578167021,0.451332986,0.585416973,0.440416992,0.569167018,265308000,1707036000
Dec-02,0.095082998,0.150333002,0.095917001,0.141666993,0.098333001,0.152250007,0.093249999,0.141000003,300336000,2206548000
Dec-03,0.162582994,0.197833002,0.162582994,0.197916999,0.167082995,0.201666996,0.162499994,0.195250005,210852000,916956000
Dec-04,0.160833001,0.200749993,0.163416997,0.197082996,0.163416997,0.208000004,0.159667,0.19675,259812000,2927052000
Dec-05,0.299416989,0.317499995,0.298583001,0.317667007,0.303250015,0.318666995,0.295166999,0.312750012,214536000,1065600000
Dec-06,0.590166986,0.641667008,0.592333019,0.644999981,0.600166976,0.649333,0.581667006,0.637166977,213912000,785010000
Dec-07,0.800000012,0.904999971,0.799250007,0.906499982,0.806249976,0.910000026,0.783749998,0.887499988,104008000,666704000
Dec-08,0.171499997,0.2315,0.170750007,0.232999995,0.180999994,0.236249998,0.168500006,0.215000004,146616000,961124000
Dec-09,0.328249991,0.467750013,0.333000004,0.467000008,0.336750001,0.473749995,0.326499999,0.466500014,136812000,2732184000
Dec-10,0.347000003,0.375750005,0.355250001,0.38499999,0.357499987,0.385500014,0.346500009,0.374500006,174488000,1026812000
Dec-11,0.336499989,0.399749994,0.328999996,0.395500004,0.343250006,0.401250005,0.327749997,0.38925001,186956000,644696000
Dec-12,0.294250011,0.317499995,0.293749988,0.316249996,0.301250011,0.320250005,0.292499989,0.314999998,127376000,816724000
Dec-13,0.375750005,0.400000006,0.375499994,0.4005,0.378749996,0.402500004,0.372500002,0.397500008,79600000,524268000
Dec-14,0.488750011,0.527750015,0.483749986,0.528500021,0.496499985,0.53125,0.477499992,0.523750007,45644000,345596000
Dec-15,0.800000012,0.843500018,0.803499997,0.84375,0.818750024,0.848500013,0.799250007,0.834500015,52448000,458756000
Dec-16,2.15625,2.99000001,2.190999985,2.933000088,2.220000029,2.998250008,2.119250059,2.780499935,381544000,2295764000
